titulo,url,precio_pesos,precio_usd,precio_dolar_blue,fecha_publicación
Tarzan Y La Ciudad Prohibida,https://cuspide.com/producto/tarzan-y-la-ciudad-prohibida/,580.0,1.59,0.63,2015-11-26
Los Siete Maridos De Evelyn Hugo,https://cuspide.com/producto/los-siete-maridos-de-evelyn-hugo/,13550.0,37.07,14.65,2020-12-15
Sana A Tus Antepasados Para Sanar Tu Vida,https://cuspide.com/producto/sana-a-tus-antepasados-para-sanar-tu-vida/,8150.0,22.3,8.81,2022-07-26
La Revolucion De La Glucosa,https://cuspide.com/producto/la-revolucion-de-la-glucosa/,16000.0,43.78,17.3,2022-03-08
El Principito,https://cuspide.com/producto/el-principito-9/,3999.0,10.94,4.32,2021-12-21
Five Nights At Freddy'S : Cuaderno De Supervivencia,https://cuspide.com/producto/five-nights-at-freddys-cuaderno-de-supervivencia/,8399.0,22.98,9.08,2023-03-29
Tarzan Y Los Hombres Leopardo.,https://cuspide.com/producto/tarzan-y-los-hombres-leopardo/,580.0,1.59,0.63,2015-11-26
Messi Crack,https://cuspide.com/producto/messi-crack/,7599.0,20.79,8.22,2023-04-27
Pato Horneado Y El Rescate En La Jungla,https://cuspide.com/producto/pato-horneado-y-el-rescate-en-la-jungla/,9600.0,26.27,10.38,2023-07-31
Adios Cachorra,https://cuspide.com/producto/adios-cachorra/,10400.0,28.45,11.24,2023-03-03
El Camino Del Artista,https://cuspide.com/producto/el-camino-del-artista/,13899.0,38.03,15.03,2019-10-18
Winnie The Pooh / Mi Primera Mirada A La Tierra: Las Estaciones,https://cuspide.com/producto/winnie-the-pooh-mi-primera-mirada-a-la-tierra-las-estaciones/,400.0,1.09,0.43,2016-03-05
El Hijo De Tarzan,https://cuspide.com/producto/el-hijo-de-tarzan/,580.0,1.59,0.63,2015-11-26
Meditaciones,https://cuspide.com/producto/meditaciones-2/,9860.0,26.98,10.66,2023-02-23
Que Sabes De Los Campeones Del Mundo ?,https://cuspide.com/producto/que-sabes-de-los-campeones-del-mundo/,2599.0,7.11,2.81,2023-10-19
Winnie The Pooh / Mi Primera Mirada A La Tierra: Bosques,https://cuspide.com/producto/winnie-the-pooh-mi-primera-mirada-a-la-tierra-bosques/,400.0,1.09,0.43,2016-03-05
3. Hunter Killer,https://cuspide.com/producto/3-hunter-killer/,600.0,1.64,0.65,2016-09-29
La Crisis De La Narracion,https://cuspide.com/producto/la-crisis-de-la-narracion/,7790.0,21.31,8.42,2023-05-09
Rota Se Camina Igual,https://cuspide.com/producto/rota-se-camina-igual/,12599.0,34.47,13.62,2022-06-30
Ikigai  Vintage,https://cuspide.com/producto/ikigai-vintage/,9150.0,25.03,9.89,2022-05-11
Las Indignas,https://cuspide.com/producto/las-indignas/,8399.0,22.98,9.08,2023-08-29
Ahora Alfonsin,https://cuspide.com/producto/ahora-alfonsin/,13000.0,35.57,14.05,2023-09-29
Palabras Semilla,https://cuspide.com/producto/palabras-semilla/,4750.0,13.0,5.14,2022-04-07
La Biblioteca De Los Nuevos Comienzos,https://cuspide.com/producto/la-biblioteca-de-los-nuevos-comienzos/,9100.0,24.9,9.84,2023-09-29
El Gato Y La Ciudad,https://cuspide.com/producto/el-gato-y-la-ciudad/,7990.0,21.86,8.64,2023-03-07
Flores En El Barro,https://cuspide.com/producto/flores-en-el-barro/,10999.0,30.09,11.89,2023-08-29
Los Peligros De Fumar En La Cama,https://cuspide.com/producto/los-peligros-de-fumar-en-la-cama/,12000.0,32.83,12.97,2016-12-20
Gaturro Messi,https://cuspide.com/producto/gaturro-messi/,4990.0,13.65,5.39,2023-01-08
Born Y Quieto,https://cuspide.com/producto/born-y-quieto/,11800.0,32.28,12.76,2023-07-31
Pinta A Leo,https://cuspide.com/producto/pinta-a-leo/,6990.0,19.12,7.56,2023-05-10
La Vaca No Se Calla,https://cuspide.com/producto/la-vaca-no-se-calla/,6830.0,18.69,7.38,2023-07-26
Quiz Book - Futbol Mundial,https://cuspide.com/producto/quiz-book-futbol-mundial/,4699.0,12.86,5.08,2023-11-08
Diario De Una Soledad,https://cuspide.com/producto/diario-de-una-soledad/,10290.0,28.15,11.12,2023-09-10
Conocer A Peron,https://cuspide.com/producto/conocer-a-peron/,15200.0,41.59,16.43,2022-03-11
Historias De Divan . Diez Relatos De Vida,https://cuspide.com/producto/historias-de-divan-diez-relatos-de-vida/,8900.0,24.35,9.62,2023-08-31
Winnie The Pooh / Mi Primera Mirada A La Naturaleza: Las Plantas,https://cuspide.com/producto/winnie-the-pooh-mi-primera-mirada-a-la-naturaleza-las-plantas/,400.0,1.09,0.43,2016-03-05
Balada De Pajaros Cantores Y Serpientes,https://cuspide.com/producto/balada-de-pajaros-cantores-y-serpientes/,17599.0,48.15,19.03,2021-10-13
La Tercera,https://cuspide.com/producto/la-tercera/,10400.0,28.45,11.24,2023-02-02
Uselo Y Tirelo,https://cuspide.com/producto/uselo-y-tirelo/,8700.0,23.8,9.41,2023-09-25
La Uruguaya,https://cuspide.com/producto/la-uruguaya/,9500.0,25.99,10.27,2023-07-31
Cadaver Exquisito,https://cuspide.com/producto/cadaver-exquisito-2/,12999.0,35.56,14.05,2023-08-23
